Starting IRSC sequence at 03:47:00Z on MJD 57591

RUN PARAMETERS FOR THIS RUN
 CX =  161  Center of camera in image, x
 CY =  123  Center of camera in image, y
 RC =   15  Outer radius of image of camera
 RO =  100  Outer radius of mask region
 RE =  135  Outer 'useful' radius
 RM =  145  Radius of mirror in image 
 NF =  256  Number of frames avgd per exposure
 SL =  127  Sky level in gifs
NAV =   16  Number of exposures avgd for sky subtr
IVL =   30  Interval in seconds between frames
SHF =    3  Bits to downshift raw images for processing


raw fits file dtb  dte  sky	sig
cR052900.fit   0     4   331  2.31
cR052930.fit   0     4   331  2.12
cR053000.fit   0     4   331  2.35
cR053030.fit   0     4   331  2.54
cR053100.fit   0     4   331  2.11
cR053130.fit   0     5   331  2.27
cR053200.fit   0     4   331  2.05
cR053230.fit   0     4   331  2.05
cR053300.fit   0     4   331  2.06
cR053330.fit   0     4   331  1.73
cR053400.fit   0     5   331  1.90
cR053430.fit   0     4   331  1.82
cR053500.fit   0     4   331  1.84
cR053530.fit   0     4   331  1.95
cR053600.fit   1     5   330  2.12
cR053630.fit   0     4   331  2.25
cR053700.fit   0     5   331  2.14
cR053730.fit   0     4   331  2.18
cR053800.fit   0     4   331  2.15
cR053830.fit   0     4   331  2.15
cR053900.fit   0     4   331  2.15
cR053930.fit   0     4   331  2.17
cR054000.fit   0     5   331  2.34
cR054030.fit   0     4   331  2.33
cR054100.fit   0     4   331  1.94
cR054130.fit   0     4   331  2.44
cR054200.fit   0     4   331  2.33
cR054230.fit   0     4   331  2.20
cR054300.fit   0     5   331  2.28
cR054330.fit   0     4   331  2.07
cR054400.fit   0     4   331  1.95
cR054430.fit   0     4   331  1.90
cR054500.fit   0     4   331  2.08
cR054530.fit   0     4   331  1.51
cR054600.fit   0     5   331  1.85
cR054630.fit   0     4   331  1.82
cR054700.fit   0     4   331  1.78
cR054730.fit   0     4   331  1.99
cR054800.fit   0     4   331  2.05
cR054830.fit   0     5   330  2.11
cR054900.fit   0     4   331  2.09
cR054930.fit   0     4   331  2.23
cR055000.fit   0     4   331  2.40
cR055030.fit   0     4   331  2.48
cR055100.fit   0     5   331  2.39
cR055130.fit   0     4   331  2.45
cR055200.fit   0     4   331  2.43
cR055230.fit   0     5   331  2.57
cR055300.fit   0     4   331  2.55
cR055330.fit   0     4   330  2.90
cR055400.fit   0     5   330  2.85
cR055430.fit   0     4   331  2.95
cR055500.fit   0     4   331  3.14
cR055530.fit   0     4   331  3.10
cR055600.fit   0     5   331  3.31
cR055630.fit   0     4   331  3.35
cR055700.fit   0     4   331  3.29
cR055730.fit   0     4   330  3.43
cR055800.fit   0     5   331  3.58
cR055830.fit   0     4   331  3.42
cR055900.fit   0     5   331  3.46
cR055930.fit   0     4   331  3.42
cR060000.fit   0     5   331  3.29
cR060030.fit   0     4   331  3.19
cR060100.fit   0     4   331  2.69
cR060130.fit   0     4   331  2.40
cR060200.fit   0     5   331  2.51
cR060230.fit   0     5   331  2.28
cR060300.fit   0     4   331  2.15
cR060330.fit   0     4   331  2.51
cR060400.fit   0     4   331  2.49
cR060430.fit   0     4   330  2.19
cR060500.fit   0     6   331  2.14
cR060530.fit   0     4   331  2.04
cR060600.fit   0     4   331  2.08
cR060630.fit   0     4   331  2.06
cR060700.fit   0     4   331  1.99
cR060730.fit   0     5   331  2.11
cR060800.fit   0     4   331  2.02
cR060830.fit   0     4   331  1.83
cR060900.fit   0     4   331  1.98
cR060930.fit   0     4   331  1.88
cR061000.fit   0     4   331  1.77
cR061030.fit   0     4   331  1.80
cR061100.fit   0     5   331  1.79
cR061130.fit   0     4   331  1.76
cR061200.fit   0     4   331  2.01
cR061230.fit   0     5   330  2.17
cR061300.fit   0     4   331  2.27
cR061330.fit   0     4   330  2.22
cR061400.fit   0     4   331  2.45
cR061430.fit   0     4   330  2.35
cR061500.fit   0     5   331  2.34
cR061530.fit   0     5   331  2.15
cR061600.fit   0     4   330  2.03
cR061630.fit   0     4   330  2.02
cR061700.fit   0     5   331  2.05
cR061730.fit   0     4   331  2.05
cR061800.fit   0     5   331  2.23
cR061830.fit   0     4   331  2.22
cR061900.fit   0     4   331  2.13
cR061930.fit   0     4   331  2.16
cR062000.fit   0     5   331  1.82
cR062030.fit   0     4   331  1.65
cR062100.fit   0     5   331  1.96
cR062130.fit   0     5   331  1.76
cR062200.fit   0     4   331  1.58
cR062230.fit   0     4   331  1.66
cR062300.fit   0     4   331  1.64
cR062330.fit   0     4   330  2.10
cR062400.fit   0     4   331  1.91
cR062430.fit   0     5   331  2.02
cR062500.fit   0     4   331  1.92
cR062530.fit   0     4   331  2.04
cR062600.fit   0     4   331  2.02
cR062630.fit   0     4   331  2.21
cR062700.fit   0     5   331  2.28
cR062730.fit   0     4   331  2.69
cR062800.fit   0     4   331  2.91
cR062830.fit   0     4   331  2.80
cR062900.fit   0     4   330  2.84
cR062930.fit   0     4   331  3.21
cR063000.fit   0     4   331  3.16
cR063030.fit   0     4   331  3.21
cR063100.fit   0     4   331  3.29
cR063130.fit   0     5   331  3.03
cR063200.fit   0     4   331  2.61
cR063230.fit   0     4   331  2.38
cR063300.fit   0     4   331  2.06
cR063330.fit   0     4   331  1.92
cR063400.fit   0     5   331  1.87
cR063430.fit   0     4   331  1.74
cR063500.fit   0     4   331  1.60
cR063530.fit   0     5   331  2.07
cR063600.fit   0     4   331  2.05
cR063630.fit   0     4   331  2.13
cR063700.fit   0     4   331  2.41
cR063730.fit   0     4   331  2.52
cR063800.fit   0     5   331  2.70
cR063830.fit   0     4   331  2.72
cR063900.fit   0     5   331  2.65
cR063930.fit   0     4   331  2.60
cR064000.fit   0     5   331  2.64
cR064030.fit   0     4   331  2.33
cR064100.fit   0     4   331  2.19
cR064130.fit   0     4   331  2.19
cR064200.fit   0     5   331  2.33
cR064230.fit   0     4   331  2.24
cR064300.fit   0     4   331  2.26
cR064330.fit   0     4   331  2.12
cR064400.fit   0     4   331  2.14
cR064430.fit   0     4   331  2.02
cR064500.fit   0     5   331  1.82
cR064530.fit   0     4   331  2.01
cR064600.fit   0     5   331  1.85
cR064630.fit   0     4   331  1.90
cR064700.fit   0     4   331  2.19
cR064730.fit   0     4   331  2.50
cR064800.fit   0     5   331  2.86
cR064830.fit   0     4   331  2.80
cR064900.fit   0     4   331  3.03
cR064930.fit   0     4   331  3.13
cR065000.fit   0     5   331  2.85
cR065030.fit   0     4   331  2.69
cR065100.fit   0     4   331  1.98
cR065130.fit   0     5   331  2.27
cR065200.fit   0     4   331  2.22
cR065230.fit   0     4   331  1.78
cR065300.fit   0     5   331  1.96
